is_there_an_emotion_directed_at_a_brand_or_product,tweet
No emotion toward brand or product,on my way to the apple store to upgrade my pager {link} #sxsw
No emotion toward brand or product,listening to the developer of the netflix app for iphone talk about mistakes he made on the ap interesting stuff #sxsw
No emotion toward brand or product,i41 slap to the face  {link} [codes valid 800-115959a 03/15/11] #infektd #sxsw #zomb
No emotion toward brand or product,listening to the official #sxsw mixtape {link}
No emotion toward brand or product,switching to the office ipad for this next session on flipboard gamechanger or passing fad (mention should like this one) #sxsw
No emotion toward brand or product,switching to the office ipad for this next session on flipboard gamechanger or passing fad (mention should like this one) #sxsw
No emotion toward brand or product,come over to the tech cocktail event tonight to check out our mobile smackdown event #sxsw #iphone #android #windowsphone
Positive emotion,listening to twit live mention #sxsw also went to boxee keg party google robots event saw tim ferris speak checked out ebay hackathon
Positive emotion,i'm going to wait for the #ipad 4 you know its going to be better than the ipad 2 #sxsw
No emotion toward brand or product,available today mention mobile apps for #iphone #android #blackberry and #windowsmobile w/ facebook more info {link} #sxsw
Positive emotion,&quoti'm too fond of my ipad&quot - mention #sxswi #sxsw
No emotion toward brand or product,social is too important for #google to screw up with a big launch circus {link} #socialmedia #sxsw
No emotion toward brand or product,social is too important for google to screw up with a big launch circus #sxsw via mention {link}
No emotion toward brand or product,"check out touching stories designing digital magazines for the ipad at sxsw
{link} #sxsw"
Negative emotion,#futuremf trajan google has destroyed the &lttitle&gt tag - websites seo them open graph protocol added a clean title tag instead #sxsw
No emotion toward brand or product,if you're trying to contact friends or family in #japan mention has created a person finder {link} #sxsw
No emotion toward brand or product,some free tunes from a few of this year's #sxsw artists ûó {link}
Positive emotion,attending tv + new media = formula for success at #sxsw seeing a lot of ipad 2's around here
Positive emotion,there are two apple stores in atx rt mention the ipad 2 goes on sale next fridaythe austin apple store is going to be busy #sxswû
No emotion toward brand or product,apple has two austin stores but until this week no downtown presence that changes with an #sxsw popup store {link} #pcbuzz
Positive emotion,apple has two austin stores but until this week no downtown presence that changes with an #sxsw popup store {link} ~mention
No emotion toward brand or product,apple has two austin-area retail locations but in anticipation of all the gadget   #ipad #sxsw #gadgets {link}
No emotion toward brand or product,please if u were able to [] attend #sxsw or buy an ipad today consider saving a few $$ for japan earthquake relief (via mention
Negative emotion,do i know u why u selling to me weve never talked i now hate your product rt mention check out heyo 4 iphone #sxsw #sxswi
Positive emotion,ûïmention unloading at #apple store corner of 6th and congress in austin temp store for #sxsw  {link} / dis awesome
No emotion toward brand or product,google to unveil new social platform circles that groups peeps by relevance #sxsw
No emotion toward brand or product,if i show up at #sxsw with my 1st gen ipad will they still let me in the door
Positive emotion,apple pop up store for #sxsw why not pop up genius bars - everywhere
Negative emotion,apple pop up store line is ridic #sxsw  {link}
Negative emotion,trying to update software (40) on iphone to download #sxsw app but so far no luck - wonder if it's because phone is from mexico
Negative emotion,def could use an ipad for  #sxsw today tweeting via iphone sorta pretty much sux
Positive emotion,brilliant use case #sxsw &quotmention kik concierge service is great get mention for android or iphone and add the sxsw user &amp ask away&quot
No emotion toward brand or product,you won't use glasses lies lies it's a phone on your face people it's a handsfree connection think apple #sxsw #arsxsw
No emotion toward brand or product,i want to use this video in my #sxsw talk today but need to be able to download it to my ipad do you know how {link}
Positive emotion,mention used mention 's mention ipad app as an example of good navigation #uxdes #sxsw {link}
No emotion toward brand or product,is anyone using google checkins thru latitude #sxsw
No emotion toward brand or product,argh the ux meet up is at the exact same time as the iphone dev meetup where is my clone #sxsw
Positive emotion,they have very little need for parents anymore [comment on child playing with ipad] ûómention #connectedbrands #sxsw
No emotion toward brand or product,ûïmention video interview with mention &amp mention at #sxsw &quotgoogle deals&quot {link}
Positive emotion,took some video on ipad 2 on 6th street the smart cover is rad filming on the huge display is nuts looks great on playback #sxsw
No emotion toward brand or product,sweet tea vodka out of a glowstick cup doesn't scream &quotgoogle&quot to me but it is baller  #sxsw
No emotion toward brand or product,my ipad 2 vs android panel starts at 330 at radisson bloody mary starts now #sxsw
Negative emotion,dense una vuelta por #socialfuel #sxsw para ver la gran diferenciart mention &quotthe revolution will be clumsily translated by google&quot
No emotion toward brand or product,encounter w charming/intense mention #thethankyoueconomy w bright mention #localmind suffer mention have fun mention party #sxsw
No emotion toward brand or product,the prob w/ seeing mention at a #sxsw interactive show is that these nerds are more concerned with their iphone videos than the actual show
No emotion toward brand or product,mention was asked what her favorite non-google product was she said her swiss watch #sxsw
Positive emotion,wishing i was at #sxsw to see the rumored demo of mention new social network 'circles' {link} (via mention
No emotion toward brand or product,my iphone was stolen and i got it back  #sxsw
No emotion toward brand or product,clearly i wasn't back on twitter during tiff i don't think (not on my iphone) this #sxsw is bigger than sundance even #filmfestepic
No emotion toward brand or product,new blog watch this mention #sxsw {link}
Negative emotion,÷¼ why are we better than #google ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter
No emotion toward brand or product,÷¼ why are we here ÷_  {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter
Positive emotion,ûïmention we interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circlesû
Positive emotion,ûïmention we interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circlesû sounds interesting
No emotion toward brand or product,yesterday we listened to google's marissa mayer discuss mobile technologies and how over 40% of users use maps on their phones #sxsw
No emotion toward brand or product,÷¼ why are we so fascinated byû_ {link}  #edchat #musedchat #sxsw #sxswi #classical #newtwitter ÷_
No emotion toward brand or product,how about wechase sweet &amp salty w/sweet tea vodka mention the google party #sxsw (mention gsd&ampm) [pic] {link}
No emotion toward brand or product,ûïmention we'll be spotlighting all our new #mobile apps mention #sxsw &amp here's a peak at our ipad #jobsearch app (video) {link}
Positive emotion,at #sxsw we're giving away an ipad 2 to the creator of the most popular disc during interactive create a disc &amp share on twitter
No emotion toward brand or product,ûïmention we're not launching any products at #sxsw but we're doing plenty else {link} / ok aun no
Positive emotion,sxsw this weekend and ipad 2 release am i taking part in either sadly no #sxsw #anybodywanttobuymeanipad2
No emotion toward brand or product,as far as welcome e-mails go mention is great and makes it very easy to see how to use the service {link} #sxsw
No emotion toward brand or product,mention  welcome enjoy #sxsw and ride anywhere in austin for $10  dwnld the #groundlink app{link} booth 437
Negative emotion,if #apple weren't so cocky perhaps a separate ipad2 store at #sxsw would have been a good idea guess they don't need the extra marketing)
No emotion toward brand or product,ûïmention what does an apple security guy after he locks up the store #sxsw - {link} lol
No emotion toward brand or product,ûïmention where is the apple store #help_sxswû use the command and it will give you the answer #sxsw #rightnow
No emotion toward brand or product,"i left my white iphone 4g in a cab in austin at #sxsw

internet please help"
No emotion toward brand or product,companies who are embracing nfc today google (nfc window decal &amp nexus s) nokia (willinclude in all smartphones  in 2011) #sxsw #mcommerce
No emotion toward brand or product,companies who are embracing nfc  isis (verizon &amp tmobile) verifone (include in all new payment systems) apple (ios5) #sxsw #mcommerce
No emotion toward brand or product,flipboard will launch iphone app before working on experiences for other tablets #sxsw
Positive emotion,brilliant win-win  #austin #sxsw and #ipad2  {link}
Positive emotion,we have a winner ) rt mention this is awesome how i got an ipad 2 during #sxsw {link} via mention mention
No emotion toward brand or product,i sort of wish the pop-up apple store only sold actual apples just as a joke #sxsw
Positive emotion,impressed with mention from #google articulate relevant &amp fun #sxsw mention austin convention center {link}
Positive emotion,a new app with a resourceful way to get connected {link} #hashable #sxsw #iphone #droid
No emotion toward brand or product,#sxsw-ers with an android jones what are you doing saturday 130-230pm how about attending an android developer meetup details to come
No emotion toward brand or product,what's up with google circles #sxsw
No emotion toward brand or product,interview with mike mccue - co-founder of flipboard - ipad users tune in now - {link} #smc #sxsw
No emotion toward brand or product,interview with mike mccue - co-founder of flipboard - ipad users tune in now - {link} #smc #sxsw #fb
Negative emotion,disgusted with my iphone's battery life already down to 11% at 330 pm while my blackberry is going strong #sxsw
No emotion toward brand or product,what's up with this &quotpop-up apple store&quot coming to 6th street and south congress for #sxsw #atx
Positive emotion,wow just witnessed a homeless guy giving detailed ipad 2 inventory info to a passerby at the austin popup store #sxsw
Positive emotion,ouch who won google v bing mention with all the respect the bing guy was invited just because they had to fill the third chair#sxsw
No emotion toward brand or product,mention would like a data dashboard of what the govt knows about him (like credit score google data dashboard)  #sxsw
No emotion toward brand or product,cool and yes happy b-day mention -) rt mention new post business cards are dead #sxsw {link}
Positive emotion,ûïmention yes gowalla wins best andoid app at the team android choice awards thanks all #sxswû
No emotion toward brand or product,sxsw ppl you are our last hope of finding the monkey fucker who created the ipad bot that stalks me on twitter everytime i type ipad #sxsw
No emotion toward brand or product,&quotare you bringing flipboard to android no but we are bringing it to iphone we're still rounding over the corners for ios&quot #cmsxsw #sxsw
No emotion toward brand or product,make sure you bring your business card to the #nonprofit meetup at #sxsw it's your ticket into our drawing for a $100 apple gift card
No emotion toward brand or product,make sure you see mention &amp i at gaslamp strip tonight  unless you're at #sxsw in which case bring me back a new ipad
Negative emotion,just when you thought &quotsocial&quot couldn't get more overblown at #sxsw google may be announcing &quotcircles&quot today {link}
No emotion toward brand or product,google is your friend &quotsalicornia&quot rt mention what is the name of the bio diesel plant that grows in salt water #agchat #sxsw
No emotion toward brand or product,and bring your laptop/ipad rt mention you should go to/ participate in this today {link} #sxsw
Positive emotion,"check out your mom has an ipad designing for boomers at sxsw
{link} #sxsw"
No emotion toward brand or product,improving your web design using engineering metrics or intuition google overuse metrics that cannot find the best solution use both #sxsw
No emotion toward brand or product,z8 first zlf assignment {link} [codes valid 800-115959a 03/12/11] #infektd #sxsw #zlf
Positive emotion,_¼ûä___ü ___¡  _____«_µ &gt&gt mention google to launch major new social network called circles possibly today {link} #sxsw
No emotion toward brand or product,i _really_ feel bad for the apple employees in austin this friday  #winning #sxsw #ipad2
No emotion toward brand or product,mention -  look guys its simple personal clouds can't exist without you unless i wanna pay 50% for a static ip #ipad2 #ipad  #sxsw
Negative emotion,mention - #apple is the classiest fascist company in america really elegant #sxsw #rji
Positive emotion,mintcom - confines of coding for iphone app 'a luxury' didn't have to worry about learning diff phone versions #sxsw #gsdm #sxswmobileapps
No emotion toward brand or product,hey #sxsw- ers rt mention rt mention last day to get the #lp austin iphone app for free {link} #travel
No emotion toward brand or product,mention - false alarm google circles not coming nowûòand probably not ever - {link} #google #circles #social #sxsw
Positive emotion,#winning - free #sxsw music sampler on itunes 22 tracks from &quotindustry favorites &amp breakout artists&quot link {link}
Positive emotion,#awesome - google maps 522 at #sxsw  great job #google
Positive emotion,mention - got my copy of #enchantment #ipad #kindle today so excited thx for keeping the world enchanted glad you're at #sxsw again
No emotion toward brand or product,sxsw ppl - i didn't see you bargain at the apple booth why you tryna bargain with the call-girl on backpages  #sxsw
No emotion toward brand or product,lynn teo - new nav schemas for ipad {link} #sxsw #uxdes
No emotion toward brand or product,overcome - provide social proof apple white earbuds (via mention #sxsw
Positive emotion,mention - re &quotlack of #sxsw newsworthy announcements&quot unless you count google circles ) #googlecircles
Positive emotion,mention - spread the word our #sxsw festival explorer app is live and free {link}
No emotion toward brand or product,n7 here - time is always against us {link} [codes valid 400-75959p 03/11/11] #infektd #sxsw #necro
No emotion toward brand or product,print ------&gt tablets ------&gt web  tablets were what we needed to bridge the gap #touchingstories #sxsw  #ipad
Positive emotion,mention --&gt rt mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw  {link}
Positive emotion,mention -&gt rt mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw (cont) {link}
No emotion toward brand or product,hey #sxsw-ers - coming in now how long is the #apple pop-up store line
Positive emotion,apple out-markets all comers at #sxsw {link}
No emotion toward brand or product,"&quotp-a-r-t-y-i-n-g&quot  rt mention 
gsd&ampm and googlesitting in a tree {link} #sxsw #gsdm"
Positive emotion,apple pop-up at #sxsw ordinance on the front line (admission is the first step to recovery) {link}
No emotion toward brand or product,apple pop-up shop #sxsw {link}
Positive emotion,apple pop-up shop for #sxsw how cool is that {link}
No emotion toward brand or product,apple pop-up store has popped up next to my hotel to ipad 2 or not to ipad 2 - that is the question #sxsw
No emotion toward brand or product,apple pop-up store in austin for #sxsw {link} by mention (via mention &lt&lt #brilliant #popupstore #experiential
Positive emotion,at google 4 people do the work of 7 people rather than 7 people doing the work of 4 #agileagency #sxsw
No emotion toward brand or product,flipboard a &quotsocial magazine&quot for the ipad teams up with duranduran in flipboard's &quotlive magazine&quot for an interview during #sxsw
No emotion toward brand or product,well damn apple setting up a &quotpop-up&quot shop at #sxsw {link}
No emotion toward brand or product,tristan h apture being fast &amp iterative w your news content means google finds you first #sxsw #hacknews #drumbeat #mojo
No emotion toward brand or product,hopefully at&ampt and verizon will have pop up cell sites to go along with apple's pop up store at #sxsw
No emotion toward brand or product,may be so but i still have a few rt mention new post business cards are dead send me your card via hashable at #sxsw {link}
No emotion toward brand or product,conan doc cdr radio android party npr shindig general raging pretty sure i'm doing #sxsw proper it is a sprint not a marathon right
No emotion toward brand or product,new kicks clif bars &amp 3g ipad #sxsw {link}
Negative emotion,lost ipad corrupted iphone and crazy hotels good times #sxsw mention aus austin-bergstrom {link}
No emotion toward brand or product,yesterday i left the house without my phone then i forgot to charge ipad overnight #mobilefail #sxsw
No emotion toward brand or product,next year i'm going to set up a bootleg sidewalk cart in austin and sell macbook power adapters and iphone cables oh and red bull #sxsw
Negative emotion,at midday iphone at mid-battery this outlet blocked by an immobile booth serves no purpose but to taunt me #sxsw {link}
No emotion toward brand or product,who knows maybe mention will do it rt mention  are you going to gary's talk wish i could be there - iphone me a clip if you go #sxsw
No emotion toward brand or product,÷¼ no fear no envy no meanness no lies no hypocrisyû_÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter
Positive emotion,i'm sorry not going to the mention party at #sxsw ) iphone forever  )
No emotion toward brand or product,"sxsw tips prince npr videos toy shopping with zuckerberg
{link}  #sxsw  #ipad"
No emotion toward brand or product,great job siva rt mention a brief account of my #sxsw talk &quotbe evil&quot #beevil {link} #ucpress #google
No emotion toward brand or product,booth 313 there is still time for the power challenge ride the bike get a bottle enter to win an ipad #sxsw #thisiscrazyfun
No emotion toward brand or product,hey #sxsw there's some offers out there for ya {link}
No emotion toward brand or product,skore &gt mention heard about apple's pop-up store in downtown austin pics are already on gowalla {link} #sxsw #ipad2
No emotion toward brand or product,done &amp done mention behind on 100s of emails give them all 1 line iphone composed replies #sxsw #protip #in
Positive emotion,ning &amp mobile roadie are thrilled to offer the unofficial #sxsw insider's guide for iphone have fun in austin {link}
Positive emotion,this -&gt rt mention at google 4 people do the work of 7 people rather than 7 people doing the work of 4 #agileagency #sxsw
No emotion toward brand or product,neck &amp shoulders are *killing* me thanks to the 8 hours a day i spend heads-down w/my iphone at #sxsw where 2 get it fixed in austin
Positive emotion,find &amp start impromptu parties at #sxsw with mention {link} i can't wait til the android app comes out
No emotion toward brand or product,the &quotaustin guide -lonely planet&quot is currently free in the #iphone app store #sxsw
No emotion toward brand or product,oh &quotlike i can't believe i've had three boyfriends since the first ipad &quot #sxsw
Positive emotion,the &quotpop up&quot apple store is packed #sxsw
No emotion toward brand or product,as at&ampt iphone are failing everywhere my verizon iphone is doing just great #verizonftw #sxsw
Positive emotion,oh &quotwhile we're here we should check out this new ipad 2 'thing'&quot #sxsw #strangeproblems
No emotion toward brand or product,oh &quotyou can download our free iphone app it's sort of a social networking kind of thing&quot #sxsw #fail
No emotion toward brand or product,ideas rt mention groups were challenged with coming up with an iphone app to solve their parenting/start-up issues #sxsw
Positive emotion,sweet rt mention rt mention google to launch major new social network called circles possibly today {link} #sxsw
No emotion toward brand or product,#sxsw (2) #gamification #ipad #design mobile #banking &amp #marketing 20 {link} #artikelen #dossiers #events #mediapers
No emotion toward brand or product,#brandnew #google tries the social network again this time it's #circles to be launched mention #sxsw perhaps whaû_ (cont) {link}
Positive emotion,nice move apple set to open popup shop in core of #sxsw action {link}
No emotion toward brand or product,announced as of today mention is no longer wine library tv new app for iphone is daily grape #sxsw
No emotion toward brand or product,dear sxsw bad planning room wise for the q&ampa with google &amp bing at hilton salon j way too small a room long line outside #sxsw #sxswi
Positive emotion,big night come party down with mention and google tonight at #sxsw {link} bands food art interactive maps cc mention
No emotion toward brand or product,game plan free food at pepsi convention center burner party android party at luster pearl  and all that happens between #sxsw
No emotion toward brand or product,#startups free premium service on your 1st job post {link} #lean #leanux #leanstartup #sxsw #sxswi #launch #startup #founders
No emotion toward brand or product,#startups free premium service on your 1st job post if you answer our 2 min survey {link} #sxsw #sxswi #startup #launch
No emotion toward brand or product,confirmed google circles to be launched later today #sxsw #sxswi
No emotion toward brand or product,good news i didn't break my iphone bad news 1 screw just wouldn't budge so i couldn't replace my battery hope it can stand up to #sxsw
No emotion toward brand or product,reason 19 keep parakeets employed {link} keep track of where the ladies are at #sxsw {link} mention
No emotion toward brand or product,important make sure you are donating to the japanese red cross for #japan {link} #sxswcares #sxsw #quake (please rt)
No emotion toward brand or product,simplegeo mobile phone ubiquity is creating a huge sensor network iphone has 6 diff sensors #sxsw #bemyneighbor
No emotion toward brand or product,in austin not surprising most popular accessory seems to be the ipad closely followed up by bbq pork waffle cone #sxsw
Negative emotion,sxsw 2011 novelty of ipad news apps fades fast among digital delegates {link} via mention #sxsw xipad
No emotion toward brand or product,challenge rethink reading #touchingstories #ipad and/or #tablet #sxsw
No emotion toward brand or product,toptweets rt mention it's not a rumor apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch {link}
No emotion toward brand or product,toptweets rt mention it's not a rumor apple is opening up a temporary store in downtown austin for #sxsw and the {link}
No emotion toward brand or product,sxsw 2011 the google and bing smackdown in all its bloody banality (guardian) {link} #sxsw
No emotion toward brand or product,dear sxsw when you have matt cutts from google you may want to provide a larger room that salon j at hilton just sayin' #sxsw #sxswi
No emotion toward brand or product,anonymity zuckerberg &quotwrong&quot says 4chan's moot #sxsw {link}
No emotion toward brand or product,anonymity zuckerberg &quotwrong&quot says 4chan's moot #sxsw {link} via mention google circles opportunity with profiles
No emotion toward brand or product,mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by #mashable {link}
Positive emotion,thank you ) rt mention just picked up mention book killer photoes with your iphone #sxsw #sxswchi  {link} #sxswi
Positive emotion,good work ûïmention mention check the latest stream at apple's store at #sxsw {link}  ipad2 here i come #playsxswû
No emotion toward brand or product,confirmed apple store 2 week popup in austin for #sxsw now with picture  {link} ( via mention who gave us no credit )
Positive emotion,good news austin eats bbq for iphone is now available - {link} #itunes #austin #bbq #sxsw #sxswi
No emotion toward brand or product,good news austin eats bbq for iphone is now available - {link} #itunes #austin #bbq #sxsw #sxswi /via mention
No emotion toward brand or product,hey #sxsw free copy of our halftone app to the first person to redeem this code p7e9eme7kylj {link}
No emotion toward brand or product,get on it join actsofsharingcom starting tonight the person with the most friends in their city by end of #sxsw wins an ipad 2 #local
No emotion toward brand or product,beautiful rt mention knitted staircase in attendance at #sxsw party tomo 7pm hosted by mention &amp mention {link}
Positive emotion,bout time rt mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored (cont) {link}
Positive emotion,good info rt mention how to improve website rankings advice from google &amp bing at #sxsw {link}
No emotion toward brand or product,i knew it rt mention apple set to open popup shop in core of sxsw action {link} via mention #sxsw
No emotion toward brand or product,iron mike rt mention i'll be at the austin convention center today w/ my mention fam showing my new iphone game #sxsw
No emotion toward brand or product,of course rt mention #sxsw ipad store sold out of everything except 64gig wifi only white
Positive emotion,oh my god rt mention it's not a rumor apple opening up a temporary store in downtown austin for #sxsw &ampipad 2 launch {link}
Negative emotion,so true rt mention 'google lost its way by caring too much for the business vs the users' - mention #psych #sxsw
No emotion toward brand or product,thank you rt mention #sxsw #touchingstories great presentation on future of digital magazines {link} (mention
No emotion toward brand or product,very cool rt mention download the free #sxsw featured artists sampler today {link}
Positive emotion,very cool rt mention rt mention not a rumor apple to open temporary store in dt atx for #sxsw &amp ipad 2 launch {link}
No emotion toward brand or product,free jams why not {link} #sxsw mention mention
Positive emotion,oh snap  at an 80s party hosted by google #sxsw
Positive emotion,"brilliant marketing  &quotapple will be opening a temporary store in downtown austin&quot next to #sxsw

and the world buy it"
Positive emotion,brilliant rt mention i've been having meetings while i'm in line at the #sxsw popup apple store for the ipad2 i love this place
Positive emotion,congrats rt mention yes gowalla wins best andoid app at the team android choice awards thanks all #sxsw
Positive emotion,love this rt mention  rt mention not a rumor apple to open temporary store in dt atx for #sxsw &amp ipad 2 launch
No emotion toward brand or product, ä_ûâüâ_âãªã_â»ä_â_ä â£ä_çáîùã¬¾ûâ»ãô©ûârt mention get a look at #sxsw's rumored #apple &quotpop-up&quot store in austin {link}
No emotion toward brand or product,got green check out mention live in austin during #sxsw check out his show schedule here -&gt {link}
No emotion toward brand or product,what time i'm in rt mention i'll be at the austin convention center today w/ my mention fam showing my new iphone game #sxsw
No emotion toward brand or product,at #sxsw  join us and mention for a drink (or 2) at fado on 4th at 7pm {link}
No emotion toward brand or product,at #sxsw mindtouchers mention mention mention are there giving ipad demos of mindtouch tcs tweet them to check it out
No emotion toward brand or product,apaan nih rt mention mention rt new #ubersocial for #iphone now in the app store includes uberguide to #sxsw
No emotion toward brand or product,÷¼  ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter
No emotion toward brand or product,÷¼  ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter  rt mention
No emotion toward brand or product,confirmed  apple pop-up store on mention 6th/congress in austin  line not too bad right now#sxsw {link}
Positive emotion,well yeah  music &gt iphone nerds rt mention my god cute girls everywherei love when interactive ends and music begins #sxsw
Negative emotion,shite app ( rt mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsoû_ (cont) {link}
Positive emotion,brilliant #apple is setting up a pop-up store in downtown austin (to sell tons of ipad2s to #sxsw attendees of course) {link}
No emotion toward brand or product,it begins happy friday everyone #sxsw starting spring break ipad 2 releasing today pre-order mention music {link}
Positive emotion,brilliant rt mention apple set to open popup shop in core of sxsw action  - they're going to sell ipad2 at #sxsw {link}
No emotion toward brand or product,hilarious rt mention look for me at sxsw i'm the bearded guy in plaid on an iphone  #sxsw
No emotion toward brand or product,hmmmm rt mention google to launch major new social network &quotcircles&quot -possibly today {link} #sxsw
No emotion toward brand or product,very true rt mention mention dude there's earthquakes  tsunamis ipad 2 and #sxsw get with it
Positive emotion,well done see you tonight rt mention w00t mention wrote about our #hollergram ipad app for #sxsw {link}
Positive emotion,finally yeaayyy rt mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by #mashable
No emotion toward brand or product,akhirnya ûïmention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw sponsored by  {link}
No emotion toward brand or product,no no no my bad its lady xd {link} #sxsw ipad rebecca black jurassic park
No emotion toward brand or product,craziness #ipad2 #sxsw mention apple store sxsw {link}
Positive emotion,it begins on a story about a cool sxsw app and also apple is launching the ipad 2 from a temp store stay tuned i love you #sxsw
Positive emotion,very wise rt mention apple is opening up a temp store in austin for #sxsw {link} via mention #ipad2
Positive emotion,[just fyi] breaking google to launch major new social network called circlestoday {link} via mention #sxsw #socialmedia
Positive emotion,brillianti hope they have plenty of ipadsrt mention apple to open pop-up shop at sxsw [report] - {link} #sxsw
No emotion toward brand or product,if i had 10 for each iphone picture of the registration queue taken in the past 10 mins i could hire someone to wait in my place #sxsw
No emotion toward brand or product,((ragtubecom)) my way {link} #japan #sxsw #earthquake redcross chuck greenberg tokyo hurricane katrina crescent city ipad
No emotion toward brand or product,*new* wwwdivasanddorkscom apple ipad 2 invades #sxsw {link}
Positive emotion,*new* wwwdivasanddorkscom best of both worlds apple pop up store invades sxsw {link} #sxsw
No emotion toward brand or product,hurrahthe #sxswi festivities have begun met some mozilla and google folks tonight at mention event #sxsw
Positive emotion,mention 'goodguide' iphone app scans barcode to rank environmental responsibility of the company-nice pressure#smmnextgen #sxsw
Positive emotion,i think i'm getting ready to order an ipad 2 with the $$ i would have had to spend to attend #sxsw
No emotion toward brand or product,i think i'm going to get a second iphone just to view push notifications #sxsw
No emotion toward brand or product,in fact i'm going to assume a priori everyone sitting in this departure terminal playing with an apple product is going to #sxsw
No emotion toward brand or product,reasons i'm sad i'm not at #sxsw 1 mention in the form of {link}
No emotion toward brand or product,i think i'm the only one mention #sxsw with an iphone 3
No emotion toward brand or product,dude you're at an outkast concert and you're tweeting from an ipad rt mention old school players to new school fools #sxsw
No emotion toward brand or product,signs you're on a plane to #sxsw  two iphone users have arcade fire rings #letsdothis
No emotion toward brand or product,&quotyou're probably using your ipad on the go&quot #disagree #sxsw #uxdes
Positive emotion,wow they're really trying to tempt me to pick up an ipad 2 tomorrow {link} #apple #sxsw #austintx
Negative emotion,i know it's #sxsw because my iphone has started lying to me about its signal strength
No emotion toward brand or product,like that's bad rt mention sitting at a bar listening to music w 3 ppl who r all nose down on iphone waitress looks confused #sxsw
No emotion toward brand or product,ok so it's come to building custom maps on google maps for each night of #sxsw to organize party itineraries #productive
Positive emotion,wow that's dedication rt mention well i'm first in line 105 hours to go  #ipad #apple #sxsw #sleepy
Positive emotion,the world's largest ipad #sxsw {link}
No emotion toward brand or product,any ipad2's left at the apple store at #sxsw anyone know )
No emotion toward brand or product,flipboard's next platform will be the iphone ceo mention says #sxsw
Negative emotion,mention 's nexus s on t-mobile is 10x more useful than my iphone4 on at&ampt at #sxsw is it because too many ppl have iphone
No emotion toward brand or product,omarg it's not a rumor apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch {link}
No emotion toward brand or product,omarg it's not a rumor apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch {link}
Positive emotion,google 80's party at maggie maes #sxsw got some free glow in the dark shades
No emotion toward brand or product,google 80's party #sxsw (mention maggie mae's w/ 64 others) {link}
Positive emotion,at google's scale tiny changes (even in colors of blue) can be meaningful there's an optimum shade of blue for links #sxsw mention
No emotion toward brand or product,&quotshe's the ipad dj working the etsy party&quot #realtalk #sxsw
No emotion toward brand or product,google 80's throw down may be the last stop of the night #sxsw
Positive emotion,hey that's us &gt&gt the go game launches do-it-yourself iphone scavenger hunts {link} (via mention see you at #sxsw
Negative emotion,hmmcan't get twitter searches to update in hootsuite or tweetdeck on ipad #sxsw
No emotion toward brand or product,i think i've seen maybe 2 non-apple notebooks my entire time here mostly macbook pros some macbooks and many many ipad2's #sxsw
No emotion toward brand or product,filmasterûªs iphone app is foursquare for cinemagoers {link} #api #getglue #iphone #sxsw
No emotion toward brand or product,mention ûïmention does the pop up apple store in austin still have ipad2 in stock #lazyweb #sxswû
No emotion toward brand or product,mention ûïmention google is not launching any products at #sxsw {link}
Positive emotion,mention ûïmention last day to get the #lp austin iphone app for free {link} #travel #sxsw&quot
No emotion toward brand or product,mention ûïmention not a rumor apple opening up temporary store in downtown austin for #sxsw and the ipad 2 launch {link}
No emotion toward brand or product,mention åè rt ubersoc new #ubersocial for #iphone now in the app store includes uberguide to #sxsw (cont) {link}
Positive emotion,mention (ceo gowalla) tells his journey of blinksale to iconbuffet to packrat then the #iphone was born and the lightbulb turned on#sxsw
No emotion toward brand or product,mention (or anyone who knows mention found your deaddd iphone outside the blogger loungecontact me so i can reunite you with it ) #sxsw
Positive emotion,mention (via mention #sxsw ipad store sold out of everything except 64gig wifi only white
Positive emotion,(cnnmoney) for #sxsw 2011 any computing device bigger than an ipad is passì© the mobile space has all the buzz {link} #wssxsw
Positive emotion,me too -) rt mention look everyone zomg mention got an ipad 2 on the first day #sxsw {link}
Positive emotion,get (down)loaded hoot - rt #hootsuite mobile for #sxsw ~ updates for iphone blackberry &amp android {link}
No emotion toward brand or product,i'm sure {link} is having a double rainbow kind of day right now #google #sxsw
Positive emotion,mention {link} you get the #sxsw app yet android version has the schedule
Positive emotion,mention mention  mention #sxsw just tried out the new ipad app and it's beautiful ps thanks for the tvontheradio tix yall rock
